"고유번호","일련번호","도시계획사항 코드","도시계획사항 명칭","결정조서 일련번호","고시 일련번호","라벨","고시일자","위도","경도"
"4631","제2종일반주거지역_UQA12220110509884","UQA122","제2종일반주거지역","UQA12220110509884","58027095","제2종일반주거지역(12층)","20110113","37.4944283","126.9068281"
"4634","제2종일반주거지역_UQA12220140410086","UQA122","제2종일반주거지역","UQA12220140410086","58032746","제2종일반주거지역","20140319","37.5519818","127.1669147"
"4636","제2종일반주거지역(7층이하)_00352","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5807159","127.0936429"
"4637","제2종일반주거지역_00213","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5359628","127.0647865"
"4795","제3종일반주거지역_00136","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5423249","127.0138307"
"4796","제2종일반주거지역(7층이하)_00273","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5811485","127.071165"
"4800","제3종일반주거지역_00133","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5585749","127.0235573"
"4802","제2종일반주거지역_00441","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.6553868","127.0360733"
"4808","제3종일반주거지역_00672","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5597311","127.0228911"
"4811","제2종일반주거지역(7층이하)_00364","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5811892","127.0226372"
"4813","제2종일반주거지역(7층이하)_00714","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5649389","126.8447178"
"4814","제2종일반주거지역(7층이하)_00208","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5556449","127.0700808"
